c;sdmu_h;numgen;v;N;seed;init_pD;mu_h;init_pH;runtime;generation;meanpH;meanpD;varpH;varpD;freq_hawk;file
5;0.02;40000;1;5000;633370685;0.1;0.01;0.3;0;40000;0.23888;0.79785;0.024553;0.024234;0.2162;./hpcbatch_16_08_2017_230103/core_155/sim_hd_17_8_2017_093343_633017000
5;0.02;40000;1;5000;530005952;0.2;0.01;0.6;0;40000;0.29585;0.82065;0.017137;0.013139;0.2018;./hpcbatch_16_08_2017_230103/core_189/sim_hd_17_8_2017_101415_529722892
3;0.02;40000;1;5000;697913018;0.4;0.01;0.4;0;40000;0.16352;0.60992;0.00253;0.0090605;0.318;./hpcbatch_16_08_2017_230103/core_48/sim_hd_17_8_2017_083028_697460287
3;0.02;40000;1;5000;613108422;0.5;0.01;0.6;0;40000;0.30601;0.65245;0.0062277;0.0096591;0.3318;./hpcbatch_16_08_2017_230103/core_71/sim_hd_17_8_2017_083743_612733833
3;0.02;40000;1;5000;592256765;0.7;0.01;1;0;40000;0.51671;0.73759;0.0055926;0.0093792;0.3298;./hpcbatch_16_08_2017_230103/core_117/sim_hd_17_8_2017_092213_591654293
5;0.02;40000;1;5000;616772174;0;0.01;1;0;40000;0.12246;0.73819;0.0010487;0.0028785;0.232;./hpcbatch_16_08_2017_230103/core_231/sim_hd_17_8_2017_102558_616430087
5;0.02;40000;1;5000;847930058;0.3;0.01;0.5;0;40000;0.34345;0.85238;0.0021116;0.004062;0.1738;./hpcbatch_16_08_2017_230103/core_179/sim_hd_17_8_2017_101115_847579030
3;0.02;40000;1;5000;575830308;1;0.01;0.1;0;40000;0.2434;0.59325;0.0070131;0.014585;0.3414;./hpcbatch_16_08_2017_230103/core_21/sim_hd_17_8_2017_082343_575502140
3;0.02;40000;1;5000;564219565;0.2;0.01;1;0;40000;0.3559;0.68016;0.0029583;0.0033784;0.3288;./hpcbatch_16_08_2017_230103/core_112/sim_hd_17_8_2017_092113_563848418
5;0.02;40000;1;5000;647029560;0.1;0.01;0.6;0;40000;0.09628;0.78271;0.0087475;0.0043283;0.185;./hpcbatch_16_08_2017_230103/core_188/sim_hd_17_8_2017_101415_646637818
5;0.02;40000;1;5000;585563331;0;0.01;0.4;0;40000;0.25738;0.77791;0.0048916;0.0055269;0.2122;./hpcbatch_16_08_2017_230103/core_165/sim_hd_17_8_2017_094958_585232434
5;0.02;40000;1;5000;748718114;0.1;0.01;0.4;0;40000;0.21095;0.77291;0.021181;0.0046904;0.225;./hpcbatch_16_08_2017_230103/core_166/sim_hd_17_8_2017_095600_748380188
5;0.02;40000;1;5000;616000190;1;0.01;0.7;0;40000;0.29923;0.81059;0.011588;0.0058972;0.212;./hpcbatch_16_08_2017_230103/core_208/sim_hd_17_8_2017_101928_615606638
3;0.02;40000;1;5000;763604838;0.3;0.01;0.2;0;40000;0.079142;0.45524;0.00095136;0.005123;0.3778;./hpcbatch_16_08_2017_230103/core_25/sim_hd_17_8_2017_082413_751344328
3;0.02;40000;1;5000;708224218;0.1;0.01;0.1;0;40000;0.35909;0.67161;0.010946;0.0062364;0.3394;./hpcbatch_16_08_2017_230103/core_12/sim_hd_17_8_2017_082113_707702617
3;0.02;40000;1;5000;703384396;0.9;0.01;0.4;0;40000;0.48185;0.73248;0.0030412;0.005721;0.3454;./hpcbatch_16_08_2017_230103/core_53/sim_hd_17_8_2017_083143_703006571
5;0.02;40000;1;5000;631349891;0.6;0.01;0.2;0;40000;0.14728;0.77591;0.0053943;0.0028312;0.2048;./hpcbatch_16_08_2017_230103/core_149/sim_hd_17_8_2017_093028_630979335
5;0.02;40000;1;5000;614308022;0.4;0.01;0.8;0;40000;0.36109;0.80475;0.001662;0.0044371;0.2274;./hpcbatch_16_08_2017_230103/core_213/sim_hd_17_8_2017_102058_613918838
5;0.02;40000;1;5000;683301704;1;0.01;0.8;0;40000;0.74635;0.93047;0.0019715;0.00095566;0.2022;./hpcbatch_16_08_2017_230103/core_219/sim_hd_17_8_2017_102228_682893386
5;0.02;40000;1;5000;603341042;0.6;0.01;0.5;0;40000;0.22766;0.80832;0.013939;0.017338;0.1824;./hpcbatch_16_08_2017_230103/core_182/sim_hd_17_8_2017_101200_602938867
3;0.02;40000;1;5000;936592038;0.6;0.01;0.9;0;40000;0.61591;0.83329;0.0098558;0.0039164;0.3118;./hpcbatch_16_08_2017_230103/core_105/sim_hd_17_8_2017_091858_936196100
5;0.02;40000;1;5000;706320047;0.2;0.01;0.8;0;40000;0.32755;0.85213;0.0018427;0.0037096;0.1664;./hpcbatch_16_08_2017_230103/core_211/sim_hd_17_8_2017_102043_705992808
3;0.02;40000;1;5000;780669524;0;0.01;0.1;0;40000;0.19989;0.55743;0.0034068;0.070601;0.327;./hpcbatch_16_08_2017_230103/core_11/sim_hd_17_8_2017_082058_780293413
5;0.02;40000;1;5000;665001154;1;0.01;0.5;0;40000;0.33217;0.82955;0.0015279;0.0017622;0.2022;./hpcbatch_16_08_2017_230103/core_186/sim_hd_17_8_2017_101400_664631586
5;0.02;40000;1;5000;709265100;0.3;0.01;0.9;0;40000;0.20543;0.85201;0.0095623;0.0021272;0.154;./hpcbatch_16_08_2017_230103/core_223/sim_hd_17_8_2017_102328_708861716
5;0.02;40000;1;5000;560273292;0.9;0.01;0.1;0;40000;0.31347;0.8394;0.0024842;0.0030225;0.187;./hpcbatch_16_08_2017_230103/core_141/sim_hd_17_8_2017_092828_559967882
5;0.02;40000;1;5000;545734050;0.8;0.01;0.4;0;40000;0.11742;0.78588;0.0052066;0.0019073;0.196;./hpcbatch_16_08_2017_230103/core_173/sim_hd_17_8_2017_100745_545413001
3;0.02;40000;1;5000;567581918;0.7;0.01;0.3;0;40000;0.45077;0.73453;0.011185;0.023614;0.3024;./hpcbatch_16_08_2017_230103/core_40/sim_hd_17_8_2017_082913_567127334
5;0.02;40000;1;5000;636147831;0.3;0.01;0;0;40000;0.34905;0.83702;0.013809;0.0046039;0.1942;./hpcbatch_16_08_2017_230103/core_124/sim_hd_17_8_2017_092413_635730768
5;0.02;40000;1;5000;600732747;0.2;0.01;1;0;40000;0.29913;0.80651;0.0043627;0.0086954;0.2142;./hpcbatch_16_08_2017_230103/core_233/sim_hd_17_8_2017_102643_600356377
5;0.02;40000;1;5000;675933386;0;0.01;0.6;0;40000;0.27182;0.8221;0.018902;0.0034966;0.2098;./hpcbatch_16_08_2017_230103/core_187/sim_hd_17_8_2017_101400_675606219
